Test Fold,Hidden Units,Learning Rate,Avg Train Coeff,Test Coeff
1,20,0.001,0.5537,0.4062
1,20,0.005,0.8585,0.5037
1,20,0.01,0.91,0.5415
1,20,0.05,0.9369,0.5316
1,30,0.001,0.6421,0.4571
1,30,0.005,0.8814,0.4543
1,30,0.01,0.9194,0.4986
1,30,0.05,0.9597,0.5079
1,40,0.001,0.6732,0.5071
1,40,0.005,0.9001,0.497
1,40,0.01,0.9385,0.4951
1,40,0.05,0.9717,0.5159
1,50,0.001,0.7454,0.4769
1,50,0.005,0.9065,0.4539
1,50,0.01,0.9428,0.4942
1,50,0.05,0.9752,0.541
1,60,0.001,0.7703,0.5138
1,60,0.005,0.9212,0.4516
1,60,0.01,0.9482,0.4915
1,60,0.05,0.9835,0.4308
1,70,0.001,0.7942,0.5147
1,70,0.005,0.9268,0.5321
1,70,0.01,0.9546,0.5218
1,70,0.05,0.9868,0.4692
1,80,0.001,0.7508,0.4696
1,80,0.005,0.9251,0.5353
1,80,0.01,0.9514,0.5452
1,80,0.05,0.989,0.4484
1,90,0.001,0.7986,0.4279
1,90,0.005,0.9293,0.4932
1,90,0.01,0.959,0.4943
1,90,0.05,0.9798,0.4026
1,100,0.001,0.8141,0.4797
1,100,0.005,0.9344,0.533
1,100,0.01,0.9623,0.5369
1,100,0.05,0.9915,0.4088
2,20,0.001,0.5389,0.4253
2,20,0.005,0.8464,0.6802
2,20,0.01,0.89,0.697
2,20,0.05,0.919,0.6534
2,30,0.001,0.6259,0.5201
2,30,0.005,0.8569,0.6405
2,30,0.01,0.9061,0.6339
2,30,0.05,0.9492,0.5426
2,40,0.001,0.6785,0.5633
2,40,0.005,0.887,0.6224
2,40,0.01,0.9263,0.5693
2,40,0.05,0.9686,0.5891
2,50,0.001,0.7146,0.5452
2,50,0.005,0.883,0.6152
2,50,0.01,0.9311,0.5774
2,50,0.05,0.9769,0.6313
2,60,0.001,0.754,0.5427
2,60,0.005,0.9073,0.6196
2,60,0.01,0.9396,0.6167
2,60,0.05,0.9821,0.5851
2,70,0.001,0.7658,0.5538
2,70,0.005,0.9054,0.614
2,70,0.01,0.943,0.622
2,70,0.05,0.9853,0.5899
2,80,0.001,0.7257,0.5824
2,80,0.005,0.9036,0.5754
2,80,0.01,0.9464,0.5706
2,80,0.05,0.9879,0.5821
2,90,0.001,0.7541,0.601
2,90,0.005,0.9213,0.581
2,90,0.01,0.9528,0.5764
2,90,0.05,0.9889,0.5665
2,100,0.001,0.7691,0.6075
2,100,0.005,0.9325,0.5985
2,100,0.01,0.9561,0.6249
2,100,0.05,0.9898,0.3786
3,20,0.001,0.562,0.4703
3,20,0.005,0.8361,0.6633
3,20,0.01,0.8821,0.6786
3,20,0.05,0.9246,0.6738
3,30,0.001,0.6665,0.5726
3,30,0.005,0.8641,0.659
3,30,0.01,0.8999,0.6717
3,30,0.05,0.9496,0.6574
3,40,0.001,0.685,0.5986
3,40,0.005,0.89,0.5944
3,40,0.01,0.9235,0.5995
3,40,0.05,0.9661,0.5518
3,50,0.001,0.7432,0.5963
3,50,0.005,0.8925,0.5827
3,50,0.01,0.9292,0.6724
3,50,0.05,0.973,0.6485
3,60,0.001,0.7505,0.5977
3,60,0.005,0.9038,0.6191
3,60,0.01,0.9381,0.6732
3,60,0.05,0.9771,0.6756
3,70,0.001,0.7623,0.6481
3,70,0.005,0.9138,0.6561
3,70,0.01,0.9363,0.6185
3,70,0.05,0.9847,0.5231
3,80,0.001,0.7614,0.5972
3,80,0.005,0.9121,0.5851
3,80,0.01,0.9422,0.6065
3,80,0.05,0.9856,0.4287
3,90,0.001,0.7782,0.6233
3,90,0.005,0.9256,0.6027
3,90,0.01,0.9478,0.6004
3,90,0.05,0.9884,0.5129
3,100,0.001,0.7688,0.6352
3,100,0.005,0.9289,0.5651
3,100,0.01,0.9539,0.5665
3,100,0.05,0.9894,0.5543
4,20,0.001,0.5765,0.3064
4,20,0.005,0.8356,0.499
4,20,0.01,0.8977,0.5193
4,20,0.05,0.9326,0.5112
4,30,0.001,0.6813,0.4585
4,30,0.005,0.8771,0.5423
4,30,0.01,0.9109,0.5261
4,30,0.05,0.9578,0.4821
4,40,0.001,0.7046,0.4634
4,40,0.005,0.8835,0.5383
4,40,0.01,0.9305,0.5644
4,40,0.05,0.9697,0.4619
4,50,0.001,0.7636,0.5017
4,50,0.005,0.8969,0.5332
4,50,0.01,0.9332,0.5289
4,50,0.05,0.9767,0.4712
4,60,0.001,0.7871,0.4356
4,60,0.005,0.9122,0.5273
4,60,0.01,0.9436,0.4764
4,60,0.05,0.982,0.4769
4,70,0.001,0.7949,0.5121
4,70,0.005,0.9153,0.5491
4,70,0.01,0.9484,0.5472
4,70,0.05,0.9865,0.4551
4,80,0.001,0.7766,0.5184
4,80,0.005,0.9155,0.5521
4,80,0.01,0.9496,0.5327
4,80,0.05,0.9886,0.4651
4,90,0.001,0.8085,0.5163
4,90,0.005,0.9289,0.5384
4,90,0.01,0.9599,0.5263
4,90,0.05,0.9915,0.4435
4,100,0.001,0.7983,0.5306
4,100,0.005,0.9341,0.5148
4,100,0.01,0.9581,0.4886
4,100,0.05,0.9921,0.4716
